Original_Image,Generated_Image,Plausibility,Date
ham_10000_train_flat/akiec_image_1.jpg,genrated_images_flat/generated_akiec_image_1_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_1.jpg,genrated_images_flat/generated_akiec_image_1_1.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_1.jpg,genrated_images_flat/generated_akiec_image_1_2.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_1.jpg,genrated_images_flat/generated_akiec_image_1_3.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_1.jpg,genrated_images_flat/generated_akiec_image_1_4.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_10.jpg,genrated_images_flat/generated_akiec_image_10_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_10.jpg,genrated_images_flat/generated_akiec_image_10_1.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_10.jpg,genrated_images_flat/generated_akiec_image_10_2.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_10.jpg,genrated_images_flat/generated_akiec_image_10_3.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_10.jpg,genrated_images_flat/generated_akiec_image_10_4.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_100.jpg,genrated_images_flat/generated_akiec_image_100_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_100.jpg,genrated_images_flat/generated_akiec_image_100_1.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_100.jpg,genrated_images_flat/generated_akiec_image_100_4.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_100.jpg,genrated_images_flat/generated_akiec_image_100_3.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_100.jpg,genrated_images_flat/generated_akiec_image_100_2.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_11.jpg,genrated_images_flat/generated_akiec_image_11_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_11.jpg,genrated_images_flat/generated_akiec_image_11_1.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_11.jpg,genrated_images_flat/generated_akiec_image_11_2.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_11.jpg,genrated_images_flat/generated_akiec_image_11_3.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_11.jpg,genrated_images_flat/generated_akiec_image_11_4.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_12.jpg,genrated_images_flat/generated_akiec_image_12_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_12.jpg,genrated_images_flat/generated_akiec_image_12_1.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_12.jpg,genrated_images_flat/generated_akiec_image_12_2.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_12.jpg,genrated_images_flat/generated_akiec_image_12_3.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_12.jpg,genrated_images_flat/generated_akiec_image_12_4.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_13.jpg,genrated_images_flat/generated_akiec_image_13_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_13.jpg,genrated_images_flat/generated_akiec_image_13_1.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_13.jpg,genrated_images_flat/generated_akiec_image_13_2.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_13.jpg,genrated_images_flat/generated_akiec_image_13_3.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_13.jpg,genrated_images_flat/generated_akiec_image_13_4.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_14.jpg,genrated_images_flat/generated_akiec_image_14_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_14.jpg,genrated_images_flat/generated_akiec_image_14_1.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_14.jpg,genrated_images_flat/generated_akiec_image_14_2.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_14.jpg,genrated_images_flat/generated_akiec_image_14_3.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_14.jpg,genrated_images_flat/generated_akiec_image_14_4.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_15.jpg,genrated_images_flat/generated_akiec_image_15_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_15.jpg,genrated_images_flat/generated_akiec_image_15_1.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_15.jpg,genrated_images_flat/generated_akiec_image_15_2.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_15.jpg,genrated_images_flat/generated_akiec_image_15_3.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_15.jpg,genrated_images_flat/generated_akiec_image_15_4.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_16.jpg,genrated_images_flat/generated_akiec_image_16_0.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_16.jpg,genrated_images_flat/generated_akiec_image_16_1.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_16.jpg,genrated_images_flat/generated_akiec_image_16_2.png,Implausible,24-06-2025
ham_10000_train_flat/akiec_image_16.jpg,genrated_images_flat/generated_akiec_image_16_3.png,Plausible,24-06-2025
ham_10000_train_flat/akiec_image_16.jpg,genrated_images_flat/generated_akiec_image_16_4.png,Implausible,24-06-2025
